Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1948, 1948, 16,     1,   ACY,       1,0.00221,0.00041,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 17,     1,   ACY,       1,0.00855,0.00262,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 18,     1,   ACY,       1,0.02484,0.01117,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 19,     1,   ACY,       1,0.05462,0.03601,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 20,     1,   ACY,       1,0.09741,0.09063,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 21,     1,   ACY,       1,0.14577,0.18804,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 22,     1,   ACY,       1,0.19132,0.33381,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 23,     1,   ACY,       1,0.22792,0.52513,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 24,     1,   ACY,       1,0.25183,0.75305,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 25,     1,   ACY,       1,0.26292,1.00488,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 26,     1,   ACY,       1,0.26503,1.26780,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 27,     1,   ACY,       1,0.25981,1.53283,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 28,     1,   ACY,       1,0.24446,1.79264,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 29,     1,   ACY,       1,0.23459,2.03710,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 30,     1,   ACY,       1,0.22922,2.27169,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 31,     1,   ACY,       1,0.22462,2.50091,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 32,     1,   ACY,       1,0.21125,2.72553,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 33,     1,   ACY,       1,0.19996,2.93678,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 34,     1,   ACY,       1,0.18673,3.13674,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 35,     1,   ACY,       1,0.17513,3.32347,       ODE,  estimate,    JPN_01,   .,    0
